SO2,CO,O3,NO2,PM10,PM25,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),hour_sin,hour_cos,dow_sin,dow_cos,doy_sin,doy_cos,is_weekend,PM10_lag_1h,PM10_lag_3h,PM10_lag_6h,PM10_lag_24h,PM25_lag_1h,PM25_lag_3h,PM25_lag_24h,기온(°C)_lag_1h,기온(°C)_lag_24h,풍속(m/s)_lag_1h,풍속(m/s)_lag_24h,습도(%)_lag_1h,습도(%)_lag_24h,PM10_roll_mean_6h,PM10_roll_mean_24h,PM10_roll_std_24h,PM25_roll_mean_24h,wind_u,wind_v
0.002,0.6,0.018,0.02,25.0,14.0,-8.7,0.0,2.4,270.0,68,2.2,-13.5,1016.4,1027.7,0.0,0.0,0.0,0.0,0.0,0,,2000,-6.9,-1.0,-0.8,0.3,1.6,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,,,,,,,,,,,,,,25.0,25.0,,14.0,-4.408728476930471e-16,-2.4
0.002,0.6,0.013,0.025,27.0,16.0,-9.1,0.0,1.6,270.0,69,2.1,-13.7,1016.2,1027.5,0.0,0.0,0.0,0.0,0.0,0,,2000,-7.1,-1.1,-0.8,0.3,1.6,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,25.0,,,,14.0,,,-8.7,,2.4,,68.0,,26.0,26.0,1.4142135623730951,15.0,-2.9391523179536476e-16,-1.6
0.003,0.6,0.011,0.027,23.0,13.0,-9.3,0.0,1.1,250.0,70,2.1,-13.7,1016.8,1028.1,0.0,0.0,0.0,0.0,0.0,0,,2000,-7.3,-1.2,-0.9,0.3,1.6,0.7071067811865475,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,27.0,,,,16.0,,,-9.1,,1.6,,69.0,,25.0,25.0,2.0,14.333333333333334,-0.3762221576582354,-1.0336618828644994
0.003,0.6,0.008,0.032,24.0,14.0,-9.3,0.0,0.3,0.0,71,2.2,-13.5,1016.2,1027.5,0.0,0.0,0.0,0.0,0.0,0,,2000,-7.5,-1.3,-1.0,0.2,1.5,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,23.0,25.0,,,13.0,14.0,,-9.3,,1.1,,70.0,,24.75,24.75,1.707825127659933,14.25,0.3,0.0
0.002,0.7,0.003,0.037,26.0,16.0,-9.7,0.0,1.9,20.0,72,2.1,-13.8,1015.6,1026.9,0.0,0.0,0.0,0.0,0.0,0,,2000,-7.6,-1.3,-1.0,0.2,1.5,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,24.0,27.0,,,14.0,16.0,,-9.3,,0.3,,71.0,,25.0,25.0,1.5811388300841898,14.6,1.7854159794932258,0.6498382723187706
0.003,0.7,0.002,0.039,27.0,18.0,-9.7,0.0,2.0,50.0,75,2.2,-13.3,1015.4,1026.7,0.0,0.0,0.0,0.0,7.0,7,12.0,2000,-7.4,-1.4,-1.1,0.2,1.5,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,26.0,23.0,,,16.0,13.0,,-9.7,,1.9,,72.0,,25.333333333333332,25.333333333333332,1.632993161855452,15.166666666666666,1.2855752193730787,1.532088886237956
0.003,0.8,0.002,0.041,30.0,18.0,-9.3,0.0,1.6,50.0,71,2.2,-13.5,1015.6,1026.9,0.0,0.0,0.0,0.0,6.0,6,16.0,2000,-6.8,-1.4,-1.1,0.2,1.5,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,27.0,24.0,25.0,,18.0,14.0,,-9.7,,2.0,,75.0,,26.166666666666668,26.0,2.3094010767585034,15.571428571428571,1.028460175498463,1.225671108990365
0.003,0.8,0.004,0.04,33.0,19.0,-9.3,0.0,1.6,50.0,72,2.2,-13.4,1015.8,1027.1,0.0,0.0,0.0,0.0,1.0,1,18.0,2000,-7.3,-1.4,-1.1,0.1,1.5,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,30.0,26.0,27.0,,18.0,16.0,,-9.3,,1.6,,71.0,,27.166666666666668,26.875,3.2705394924123103,16.0,1.028460175498463,1.225671108990365
0.004,0.9,0.007,0.039,35.0,19.0,-8.6,0.0,2.5,20.0,74,2.4,-12.4,1016.1,1027.4,0.6,0.27,0.0,0.0,1.0,1,18.0,2000,-6.2,-1.4,-1.2,0.1,1.4,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,33.0,27.0,23.0,,19.0,18.0,,-9.3,,1.6,,72.0,,29.166666666666668,27.77777777777778,4.0858835573770875,16.333333333333332,2.3492315519647713,0.8550503583141718
0.004,0.8,0.01,0.036,44.0,27.0,-6.1,0.0,1.1,50.0,68,2.6,-11.0,1016.4,1027.6,1.0,0.76,0.0,0.0,1.0,1,10.0,2000,-3.4,-1.2,-1.1,0.1,1.4,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.017213356155834685,0.9998518392091162,0,35.0,30.0,24.0,,19.0,18.0,,-8.6,,2.5,,74.0,,32.5,29.4,6.415259585983684,17.4,0.7070663706551934,0.8426488874308758
